freq,stage1_db,stage1_deg,stage2_db,stage2_deg,stage3_db,stage3_deg
1.00000000000000e+01,-3.42285443156404e-02,-7.19123674429163e+00,-3.42685790594534e-02,-1.22872876465170e+01,-4.53706819328287e-03,-1.41580722527559e+01
1.02329299228075e+01,-3.58378171327061e-02,-7.35828768690825e+00,-3.58824276943302e-02,-1.25733630741959e+01,-4.74748910569993e-03,-1.44880492397291e+01
1.04712854805090e+01,-3.75226133658440e-02,-7.52919735250081e+00,-3.75723378099758e-02,-1.28660926259065e+01,-4.96766863366315e-03,-1.48257263300721e+01
1.07151930523761e+01,-3.92864616565768e-02,-7.70405331898128e+00,-3.93418945106555e-02,-1.31656306254766e+01,-5.19805155730549e-03,-1.51712838971380e+01
1.09647819614319e+01,-4.11330540074628e-02,-7.88294504111639e+00,-4.11948519233353e-02,-1.34721349438707e+01,-5.43910217889387e-03,-1.55249065903766e+01
1.12201845430196e+01,-4.30662532004577e-02,-8.06596388277824e+00,-4.31351411722635e-02,-1.37857670784653e+01,-5.69130510684553e-03,-1.58867834405299e+01
1.14815362149688e+01,-4.50901005383344e-02,-8.25320314915001e+00,-4.51668787307862e-02,-1.41066922339365e+01,-5.95516606407940e-03,-1.62571079677075e+01
1.17489755493953e+01,-4.72088239216819e-02,-8.44475811883141e+00,-4.72943751680967e-02,-1.44350794047817e+01,-6.23121272053899e-03,-1.66360782924457e+01
1.20226443461741e+01,-4.94268462748306e-02,-8.64072607578401e+00,-4.95221443100307e-02,-1.47711014594965e+01,-6.51999554992967e-03,-1.70238972498547e+01
1.23026877081238e+01,-5.17487943338280e-02,-8.84120634105139e+00,-5.18549128333193e-02,-1.51149352264277e+01,-6.82208871018551e-03,-1.74207725069683e+01
1.25892541179417e+01,-5.41795078106302e-02,-9.04630030418363e+00,-5.42976303144175e-02,-1.54667615813194e+01,-7.13809094765855e-03,-1.78269166834142e+01
1.28824955169313e+01,-5.67240489472882e-02,-9.25611145428946e+00,-5.68554797541733e-02,-1.58267655365742e+01,-7.46862652402321e-03,-1.82425474755290e+01
